"thumb","url","text","likes","comments","shares"
,"https://www.facebook.com/sliceitt/posts/pfbid02PTLxqRnxLPoWp6N9a51HnpVvciLUcjL8DdScHV6tLkru6U3CFiuh9PNMNASixbiml","Little cashbacks took @_arpit_21_ a long way to big trips and bigger memories. Now he has a customised spark in his slice app. You could win one too! Tell us your story of where slice helped you and you might win a customised comic and a special spark offer. Don’t forget to mention your &ID.","1","1","0"
,"https://www.facebook.com/sliceitt/posts/pfbid02YsivScNWoggtKyCao5tiJiiMiUTSD49wm3CCSYJTUfpi64g2RoSFQrunQddwjQ4yl","This one's quite the catch 🏏 Get EXCLUSIVE access to early bird tickets for Mumbai Indians home matches. Howzzat? Use slice UPI or your slice card to purchase them. Valid till 11th March 😎","6","4","0"
,"https://www.facebook.com/sliceitt/posts/pfbid0Q72KNa5N3yfguoza5H6ZAzg2kE3MqC4QVA7VPqRhMB8dZDASXDECrcKTmr7CVJ3xl","slice spark saved money and @yassk29 ‘s friends were happy 💜 We'll call this a win-win 🤝🏽
Share your stories along with your &ID 👇 You might win a spark and if you're lucky - a customised comic ✨","6","2","0"
,"https://www.facebook.com/sliceitt/posts/pfbid0EPiasD9qXQCGgV8pZT9t5DLmhi4yAQ5Xk49Jv7pby5KDuCkqc4m6tYhfcj4RenZCl","@sham._.anth Whatta spark moment 🔥 If you have any memorable spark stories for us, leave them here with your &ID 👇 Who knows? You might win a spark & a customized comic next month 💜#slicepurplemonth","3","32","0"
,"https://www.facebook.com/sliceitt/posts/3015999788703345","Let’s put those doubts to rest. Find out what happens to your purchase power and more.✨
Also, stay tuned for a short quiz, about the new slice experience, where you stand a chance to win rewards. 👀","30","66","0"
,"https://www.facebook.com/sliceitt/posts/2994396120863712:2286283271547943","","91","50","2"
,"https://www.facebook.com/sliceitt/posts/pfbid0gH8yfVFQkNsZEUYuqUeShWjeEVwvBoUsJhFHGwuLocGvribronaydjj1v15bot3il","#sliceluckyday Trying to get to the end of the rainbow is a gold move slicers! 🌈💰

Drop your invite code in the comments below and follow @sliceit_ to increase your chances of being that lucky slicer. 🥳 Ends 03/11","29","55","3"
,"https://www.facebook.com/sliceitt/posts/pfbid02KnGxz2Jf5xGNrpTkyaC7PVUEo3cu8YJ8M6SXDsyooRAURCUUS9MkaFjiZnk8tUxel","Dropping 99% off exclusive sparks for the lucky 1%. You’ll have to win your chance, so make sure you’re following @sliceit_ and have your notifications on. Thank us later 💁🏻‍♀️ #festivesparkmonth","41","48","2"
,"https://www.facebook.com/sliceitt/posts/pfbid02PbY3ys39oTEqt5QEUeAyryoKUkWCfmxFpJ6FPftQ1G13cDUhrYDUdNwKQmNh28gYl","#sliceluckyday Mentally floatin' in our money paradise rn! 💸
Drop your invite code and join us by the Money Pool! 💰

1. Must follow @sliceit_
2. Share your invite code in the comments
3. Make your slice repayment on or before September 3rd to be eligible
4. Ends on 3rd Sept night, cashback will be credited to your slice account 🥳","21","69","0"
,"https://www.facebook.com/sliceitt/posts/pfbid027uvbAcDBa3Fxi26BhQhPjHkyjCFa5eyWHHfH1x2xpigHnieXYLVkYohgHv8VnRiml","We want you to be #goingplaces 😉

For starters, let's begin with our feed? Click around and you might stumble upon hidden treasure 💰💰

Clues for the detectives🕵️‍♂️-
1. There are 5 unique codes hidden in our feed. Find them and use them on Mokobara.com for flat ₹3000 off on min. purchase of ₹5000.
2. Remember, each code can be used only once. So, only the first person to use the code gets the discount.
3. Offer is applicable only on purchases made using the slice card.
4. Winners will be announced on 31st Aug, 8 pm.
5. Keep an eye out for clues on our stories.","141","34","0"
,"https://www.facebook.com/sliceitt/posts/pfbid0ZVDZtTvL7qMkzy3QYZU5vrVgjUeNYxRMzwRCxi73UBUDmRK8R2K1BRYKoC9R3S1El","We feelin' trippy, a lil hippie 🌈
Drop a 💊 in the comments if you wanna go on this wild ride too","19","28","0"
,"https://www.facebook.com/sliceitt/posts/pfbid02cEZ7NApT263mM49fPcgk2yUdHH3xAxZtv6LLGosjR1aytxdAXjSCZUz8RUWQsfCYl","","12","16","0"
,"https://www.facebook.com/sliceitt/posts/2922471808056144","slicer, slicer which slicer will we choose? 🤔
Well, it's not on us this time! 'The Hand' is in charge 🤌

So, hurry up and participate in the #sliceluckyday asap! 💰

Don't forget to impress 'The Hand' by following these rules-
1. Follow @sliceit_
2. Share your invite code in the comments
3. Only users who have made the repayment on or before August 4th will be eligible for this contest
4. Comments till Friday, August 5th, 2 PM will qualify
5. Winners will be announced on Friday, August 5th, post which cashback will be credited to the respective accounts 🥳","24","73","1"
,"https://www.facebook.com/sliceitt/posts/pfbid0uWZJddmiQCcpS9QgxLVdmHkAsgFGvVZMJBhcFiezXkWtDWgz1ZMKzzXf2yh9wCEBl","The only thing we wanna run after is 'monies' 🤪
Spam the comments & tell us how much monies you got rn 😍","22","69","2"
,"https://www.facebook.com/sliceitt/posts/pfbid0yCHLDVRm4QNWFHqYGeWk7a48fLo1FMaZ8Xn7XbtUYY4yk3nC7MsbXdJTsrYUsAcal","Everyone can be a shopaholic but it rewards to be a fast one 😉

Watch here 👇
https://youtu.be/Ty5PVnLILak","20","52","0"
,"https://www.facebook.com/sliceitt/posts/pfbid02B6pNFiydJTWBY3SmprpVYDGErQNs4m1k3kbcD6LZhAFzh8ko5stBPFo26Y9g3AbFl","We woke up this morning & thought what a perfect day it is to deliver some mid week joy to slicers 😍

If you haven't guessed already, we're back with your fav #sliceluckyday 🤑 So hurry up & participate now.

Rules? Pretty simple-
1. Follow @sliceit_
2. Share your invite code in the comments
3. Only users who have made the repayment on or before June 3rd will be eligible for this contest
4. Comments till Friday, 3rd June, 2 PM will qualify
5. Winners will be announced on Saturday, June 4th, post which cashback will be credited to the respective account
.
.
.
#sliceit #slicesupercard #sliceluckyday #contestalert #💜 #money","31","55","1"
,"https://www.facebook.com/sliceitt/posts/pfbid022s8fJVQWTHHt5Gahr7o6f5ChwzotzrtwnVqLz9gBnArQ7s2gvkE7ZLpjpCp6Au5Xl","This time sharing isn't caring 🤫 
Drop a 🍅 in the comments if you wanna throw tomatoes on scammers
.
.
.
.
 #sliceit #slicesupercard #slicesuperupi #fraudsters #scammers #sliceofawareness #💜","19","32","0"
,"https://www.facebook.com/sliceitt/posts/pfbid02MzNy1kcJ4eudAC8Mtx6JvHR6gmL8HrEg53W3uYwHxpqaNCLRrcQFiiSoA2cVZbcJl","Beating the heat in OG style 😎 Spam the comments with 'monies' if you wanna have a bite of this ice-cream 😉
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜","18","21","1"
,"https://www.facebook.com/sliceitt/posts/pfbid02wddsapTZExX1MbkrUzCEC1oz5H8mDGQ7ccCRYjnfjYhNMt2HPJzmQwovgDq9ikgdl","Give this post as much attention as you give to your crush's reply 😛 The first few numbers you spot is your current account balance 🥴
.
.
.
.
. 
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜","11","13","1"
,"https://www.facebook.com/sliceitt/posts/pfbid02AK4Lrok4KH3GzvZ84aupTpScxUWrtciQev2etMxLKeMNyjS1DBZGn4yr6SDm9WZWl","We're back with the game where there's no red light but only green light 🤑

Your fav #sliceluckyday is back with a bang 🔥 So hurry up & participate now

Rules? Pretty simple-
1. Follow @sliceit_
2. Share your invite code in the comments
3. Only users who have made the repayment on or before May 3rd will be eligible for this contest
4. Comments till Tuesday, 3rd May, 2 PM will qualify
5. Winners will be announced on Wednesday, May 4th, post which cashback will be credited to the respective accounts

.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜 #squidgame","74","43","1"
,"https://www.facebook.com/sliceitt/posts/pfbid0eSL9HH7poW221HrqEkjn2XESCeHRFJj6haHB167HJ6NwHpDg5HRAimpeGbQ1TuWfl","We're here with the game where there's no red light but only green light 🤑

Your fav #sliceluckyday is back with a bang 🔥 So hurry up & participate now

Rules? Pretty simple-
1. Follow @sliceit_
2. Share your invite code in the comments
3. Only users who have made the repayment on or before May 3rd will be eligible for this contest
4. Comments till Tuesday, 3rd May, 2 PM will qualify
5. Winners will be announced on Wednesday, May 4th, post which cashback will be credited to the respective accounts
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜 #squidgame","15","25","0"
,"https://www.facebook.com/sliceitt/posts/pfbid0jEGeX4vFWF6qV7Lo5ygMk9RFN7PhqxHq62ZcBoSKMQ7dHtaFurHJENNFX2rw8Zqul","slice assorted box of goodness is here😍
So what'd you like to feast on:The sparky drink, chocolatey monies or a slice of cake?🤤
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜","15","9","0"
,"https://www.facebook.com/sliceitt/posts/pfbid08EpVJ8KTTD6dZMzV7NqXpHCVBphRsk9SaTRYm1rpE4QuiXGxiqLhsUUrr8ERmyVpl","Slidin' our way to collect all the money there is😉
Run in our comments if you want us to speed up🏃
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜","22","12","0"
